순번,행정동,,주소,비고
1,군자동,,군자동 279-1,세종대 우정당 뒤편
2,군자동,,군자동 366-4,주소없음!
3,군자동,,군자동 366-12,장안초 담벼락 전봇대 옆
4,군자동,,군자동 362,대명이튼캐슬
5,군자동,,군자동 361-12,주소없음!
6,군자동,,군자동 356-19,안가빌라 앞
7,군자동,,군자동 350,도레미 피자치킨 근처
8,군자동,,군자동 349-4,주소없음!
9,군자동,,군자동 343-8,주소없음!
10,군자동,,군자동 346-11,주소없음!
11,군자동,,군자동 364,BBQ군자점
12,군자동,,군자동 364-33,주소없음!
13,군자동,,군자동 343-11,호동아파트 앞
14,군자동,,군자동 100,주소없음!
15,군자동,,군자동 115,군자어린이집 주변
16,군자동,,군자동 116-3,유진파크뷰 앞
17,군자동,,군자동 116-5,세종사이버대 뒤편
18,군자동,,군자동 130-96,파인하우스 우측
19,군자동,,군자동 117-26,주소없음!
20,군자동,,군자동 142-18,주소없음!
21,군자동,,군자동 144-9,뽀끌레헤어 주변
22,군자동,,군자동 179-1,월드빌라 맞은편
23,군자동,,군자동 48-35,마쇼마쇼 포차 앞
24,군자동,,군자동 53-14,군자동 주민센터 앞
25,군자동,,군자동 56-13,목화빌라 앞
26,군자동,,군자동 37-1,주소없음!
27,군자동,,군자동 24,금영주택 앞
28,군자동,,군자동 15,주소없음!
29,군자동,,군자동 18,주소없음!
30,군자동,,군자동 465-2,삼성세탁소 앞
31,군자동,,군자동 26-1,수호재빌 앞
32,군자동,,군자동 469-10,개그스토리마트
33,군자동,,군자동 49-25,주소없음!
34,군자동,,군자동 200-15,주소없음!
35,군자동,,군자동 70-8,주소없음!
36,군자동,,군자동 2-27,군자동 공영주차장 앞
37,군자동,,군자동 27-20,M캐슬 앞
38,군자동,,군자동 27-18,주소없음!
39,군자동,,군자동 27-8,주소없음!
40,군자동,,군자동 27-10,주소없음!
41,군자동,,군자동 231,경원원룸 맞은편
42,군자동,,군자동 300,청기와빌라트 맞은편
43,군자동,,군자동 275-1,주소없음!
44,군자동,,군자동 290,세종대 우정당 뒤편
45,군자동,,군자동 257,주소없음!
46,군자동,,군자동 258,주소없음!
47,군자동,,군자동 249,천미향
48,군자동,,군자동 90-6,주소없음!
49,군자동,,군자동 90-8,주소없음!
50,군자동,,군자동 64-18,주소없음!
51,군자동,,군자동 88-29,세운파크멘션 앞
