"동","주소","상세주소"
"공덕동","만리재옛길84","공덕동주민센터"
"공덕동","마포대로14가길22","법원뒤 법사랑2길"
"공덕동","환일길7","서울제일교회앞"
"공덕동","환일길30",""
"공덕동","손기정로6길3",""
"공덕동","마포대로16나길30",""
"공덕동","마포대로14길25",""
"공덕동","만리재옛길68-3",""
"공덕동","만리재로16길20-5",""
"공덕동","환일길42",""
"아현동","마포대로7길18","복사골어린이공원옆"
"도화동","마포대로4길18","복사골어린이공원옆"
"도화동","새창로4길12","경보주차장안쪽"
"도화동","도화길 37","도화동주민센터"
"도화동","새창로4길9","미트볼앞"
"도화동","새창로6다길18",""
"도화동","마포대로4나길50",""
"도화동","마포대로4다길27","마포어린이공원"
"도화동","도화4길53","어린이영어도서관 옆"
"도화동","마포대로4라길40",""
"용강동","용강동 381","대흥동성당앞"
"용강동","토정로31길31","용강동주민센터"
"용강동","마포대로46","고고네건너편"
"용강동","대흥로4길22옆",""
"대흥동","신촌로26길10","대흥동주민센터 뒷 화단"
"대흥동","고산길54","신촌중앙교회맞은편"
"대흥동","고산2길34-67","고래그림앞"
"대흥동","고산2길50","노고산체육공원앞"
"대흥동","백범로4길21",""
"대흥동","백범로18","미화빌딩주차장"
"대흥동","백범로10길22",""
"대흥동","대흥로110","용강초교담장"
"대흥동","백범로17길7","용강초교정문옆"
"대흥동","대흥로145","마을공원앞"
"대흥동","고산16길49","서강빌타운주차장옆"
"대흥동","고산18길13","양원주부학교뒤 옹벽아래"
"대흥동","신촌로26길10","우리마포복지관 주차장입구"
"염리동","숭문길14","염리동주민센터"
"신수동","독막로192","신수동주민센터"
"신수동","신수로102",""
"신수동","대흥로9안길21","서울슈퍼"
"신수동","신수로3길3-13",""
"신수동","독막로29길30",""
"신수동","신수로25-12","맞은편"
"신수동","독막로28길46","하늘가족교회 앞 담벼락"
"서강동","와우산로13","대로변"
"서강동","서강로68","마포노인복지관앞 도로변"
"서강동","와우산로30길54",""
"서강동","와우산로30길135","중앙하이츠마을버스 종점"
"서강동","서강로 97","삼성아파트 상가 옹벽"
"서강동","와우산로 105-2",""
"서강동","독막로107","마을버스정류장"
"서교동","월드컵로 64",""
"서교동","월드컵로 74","망원역1번출구"
"서교동","월드컵로10길56","도서출판길벗앞"
"서교동","동교로120",""
"서교동","잔다리로7안길14",""
"서교동","양화로11길21","서교어린이공원"
"서교동","어울마당로51-1","쉼터공원"
"서교동","양화로156","LG팰리스빌딩뒤"
"서교동","홍익로10","서교푸르지오후면담장"
"서교동","신촌로2길12","동교동 교회방면"
"서교동","월드컵북로2길65","KT신촌지사"
"서교동","동교로158","용인토종순대국앞"
"서교동","서강로119","옆이면도로"
"합정동","토정로4길27","당인리발전소길"
"합정동","토정로2길27",""
"합정동","독막로8길32",""
"합정동","희우정로41",""
"합정동","동교로8길58",""
"합정동","동교로16-18",""
"합정동","포은로2가길 29","양화어린이공원옆"
"합정동","독막로4길17","성산중학교 담장옆"
"합정동","성지1길10-19",""
"망원1동","포은로6길10","망원1동주민센터"
"망원1동","월드컵로15길53","한마음공원 민방위급수시설뒤"
"망원1동","동교로75","조명가게앞"
"망원1동","망원로4길38","옹달샘공원앞"
"망원2동","월드컵로31길69","두리어린이공원"
"망원2동","방울내로7길11","망원2동주민센터"
"망원2동","월드컵로31길37","삼성아트빌앞"
"망원2동","방울내로11길157",""
"망원2동","월드컵로25길86","동교초등학교"
"망원2동","망원로3길30",""
"망원2동","방울내로19","공중화장실앞"
"연남동","성미산로29길17-9","연남동주민센터주차장"
"연남동","성미산로29길17-3","은행나무어린이공원입구"
"연남동","동교로282","굴다리입구"
"연남동","동교로51길17",""
"연남동","동교로51길51",""
"연남동","성미산로29길45","신흥아3차빌라앞"
"연남동","성미산로23길54","연남아파트 담장"
"연남동","연남로3길80","느티나무공원옆"
"연남동","성미산로19길8",""
"연남동","연남로7길38","담장코너"
"연남동","연남로7길10",""
"연남동","연남로67","이조빌라담장"
"성산1동","월드컵로30길12","노블에비뉴담장"
"성산1동","월드컵로26길52","광성슈퍼앞"
"성산1동","성산로4길15","주민센터앞"
"성산1동","연남로13길51","동양하우징201동옹벽앞"
"성산1동","월드컵북로12안길34",""
"성산1동","월드컵북로12길27","다솜어린이공원담장"
"성산1동","성산로2길21",""
"성산1동","성미산로7안길43",""
"성산1동","성미산로3길67","성미산로옹벽4번길위"
"성산1동","월드컵북로15길37",""
"성산1동","월드컵북로18길13","the M hotel뒤"
"성산1동","성미산로11길36",""
"성산1동","연남로13길21",""
"성산1동","월드컵로30가길27",""
"성산1동","월드컵로30길34",""
"성산2동","월드컵북로30길22","성산2동주민센터앞"
"성산2동","새터산길25","쌍둥이어린이공원"
"성산2동","모래내로3길16",""
"성산2동","새터산14안길13",""
"성산2동","월드컵북로197",""
"성산2동","성암로9안길25","신혼빌라B동 건너"
"성산2동","성암로1길22",""
"상암동","매봉산로2길16","상암동주민센터"
"상암동","월드컵북로48길36","휴암공원앞"
"상암동","상암동1619번지","새누리공원앞"
