district,type,location,etc
영등포구,lamp_battery,서울특별시 영등포구 신길로61길 17(영등포본동 주민센터앞),
영등포구,lamp_battery,서울특별시 영등포구 영등포동647-3(상상어린이공원앞),
영등포구,lamp_battery,서울특별시 영등포구 신길로62길 35(장훈고 담장측면),
영등포구,lamp_battery,서울특별시 영등포구 영등포로62가길6-16(옹벽),
영등포구,lamp_battery,서울특별시 영등포구 신길로60길34(제2공영주차장담벽),
영등포구,lamp_battery,서울특별시 영등포구 도신로65길 3-2(장훈고등학교앞),
영등포구,lamp_battery,서울특별시 영등포구 영신로9나길16(구 영등포1동사무소앞,
영등포구,lamp_battery,서울특별시 영등포구 영등포로62길34앞(비녀미용실 방향 전주),
영등포구,lamp_battery,서울특별시 영등포구 영등포로 60길 앞(순영빌라),
영등포구,lamp_battery,서울특별시 영등포구 영등포로 60길 17,
영등포구,lamp_battery,서울특별시 영등포구 국회대로44길 7,
영등포구,lamp_battery,서울특별시 영등포구 영등포로33길9-1(동방주차장),
영등포구,lamp_battery,서울특별시 영등포구 영등포로34길12(영남주차장),
영등포구,lamp_battery,서울특별시 영등포구 영등포로 35길 15옆(중앙어린이공원),
영등포구,lamp_battery,서울특별시 영등포구 영중로27길 3(영중경로당),
영등포구,lamp_battery,서울특별시 영등포구 국회대로 53길 28-7,
영등포구,lamp_battery,서울특별시 영등포구 도신로15다길 33(도림빗물펌프장정문앞),
영등포구,lamp_battery,서울특별시 영등포구 도림로113길앞(동아에코빌),
영등포구,lamp_battery,서울특별시 영등포구 도신로 165,
영등포구,lamp_battery,서울특별시 영등포구 도신로15다길10앞(도림유수지 앞),
영등포구,lamp_battery,서울특별시 영등포구 도신로 25길 4앞(진풍주차장 앞),
영등포구,lamp_battery,서울특별시 영등포구 영등포로 20길 20,
영등포구,lamp_battery,서울특별시 영등포구 양산로3길 9,
영등포구,lamp_battery,서울특별시 영등포구 양평로 30가길 28 건너편,
영등포구,lamp_battery,서울특별시 영등포구 양평로 20길 8-1,
영등포구,lamp_battery,서울특별시 영등포구 양평로28라길2,
영등포구,lamp_battery,서울특별시 영등포구 영등포로84길36(어린이놀이터),
영등포구,lamp_battery,서울특별시 영등포구 도신로 56나길 2(메낙골공원 사잇길),
영등포구,lamp_battery,서울특별시 영등포구 여의대방로55길22-1 건너편,
영등포구,lamp_battery,서울특별시 영등포구 여의대방로47다길16-9,
영등포구,lamp_battery,서울특별시 영등포구 신길로41다길 4(쌈지공원),
영등포구,lamp_battery,서울특별시 영등포구 신길로41길 28-5,
영등포구,lamp_battery,서울특별시 영등포구 가마산로51길6(성락유치원뒤),
영등포구,lamp_battery,서울특별시 영등포구 가마산로49길2앞(신3 우편취급소 옆),
영등포구,lamp_battery,서울특별시 영등포구 가마산로 61다길 9(신길우성 5차),
영등포구,lamp_battery,서울특별시 영등포구 가마산로63길25 공원인근,
영등포구,lamp_battery,서울특별시 영등포구 가마산로69가길 17(사러가시장 옆),
영등포구,lamp_battery,서울특별시 영등포구 신길로39길 28(썬마트 맞은편),
영등포구,lamp_battery,서울특별시 영등포구 가마산로48길 26,
영등포구,lamp_battery,서울특별시 영등포구 도림로63길1앞(대림소방파출소 앞),
영등포구,lamp_battery,서울특별시 영등포구 신길로15길9앞(영등포종합사회복지관뒤),
영등포구,lamp_battery,서울특별시 영등포구 가마산로 50길(뚝방길),
영등포구,lamp_battery,서울특별시 영등포구 신길로8길7건너편(KT대방지사옆),
영등포구,lamp_battery,서울특별시 영등포구 신길로 16길 9-1(영신고등학교 담),
영등포구,lamp_battery,서울특별시 영등포구 대방천로12길9 건너편,
영등포구,lamp_battery,서울특별시 영등포구 신길로8길9-15 건너편(신길3차우성아파트),
영등포구,lamp_battery,서울특별시 영등포구 대방천로 182(한국목재 뒤),
영등포구,lamp_battery,서울특별시 영등포구 대림로106(대림어린이공원 앞),
영등포구,lamp_battery,서울특별시 영등포구 디지털로 38길 16-15,
영등포구,lamp_battery,서울특별시 영등포구 대림2동 702(대동초등학교 담장),
영등포구,lamp_battery,서울특별시 영등포구 디지털로 38길 8-8(한솔파크),
영등포구,lamp_battery,서울특별시 영등포구 가마산로47길 13(신우어린이공원),
영등포구,lamp_battery,서울특별시 영등포구 도림로39길 21앞(남부도로사업소),
영등포구,lamp_battery,서울특별시 영등포구 도림로39길7-2(남부도로사업소),
영등포구,lamp_battery,서울특별시 영등포구 도림로31길 28(대림역),
영등포구,lamp_battery,서울특별시 영등포구 대림로31나길10(영남중학교),
영등포구,lamp_battery,서울특별시 영등포구 대림로39길 23(대림운동장),
영등포구,lamp_battery,서울특별시 영등포구 신길로61길 17,
영등포구,lamp_battery,서울특별시 영등포구 영등포로53길 22,
영등포구,lamp_battery,서울특별시 영등포구 국제금융로 124,
영등포구,lamp_battery,서울특별시 영등포구 양산로23길 11,
영등포구,lamp_battery,서울특별시 영등포구 당산로41가길 7,
영등포구,lamp_battery,서울특별시 영등포구 도영로7길 10,
영등포구,lamp_battery,서울특별시 영등포구 문래로28길 15,
영등포구,lamp_battery,서울특별시 영등포구 영등포로11길 12,
영등포구,lamp_battery,서울특별시 영등포구 선유로47길 30,
영등포구,lamp_battery,서울특별시 영등포구 영등포로84길 24-5,
영등포구,lamp_battery,서울특별시 영등포구 신길로41라길 13-8,
영등포구,lamp_battery,서울특별시 영등포구 신길로42길 1,
영등포구,lamp_battery,서울특별시 영등포구 도림로 264,
영등포구,lamp_battery,서울특별시 영등포구 대방천로 169,
영등포구,lamp_battery,서울특별시 영등포구 여의대방로43길 10,
영등포구,lamp_battery,서울특별시 영등포구 디지털로 441,
영등포구,lamp_battery,서울특별시 영등포구 대림로23길 25,
영등포구,lamp_battery,서울특별시 영등포구 대림로 197,
